Time-Course Task

Problem Description:
    AutomaticStepSize: 0
    StepNumber: 1000
    StepSize: 0.25
    Duration: 250
    TimeSeriesRequested: 1
    OutputStartTime: 0
    Output Event: 0
    Start in Steady State: 0
    Use Values: 0
    Values: 

Method: Deterministic (LSODA)
    Integrate Reduced Model: 0
    Relative Tolerance: 1e-06
    Absolute Tolerance: 1e-12
    Max Internal Steps: 100000
    Max Internal Step Size: 0


Time-Course Result:

# Time	EpoRJAK2	EpoRpJAK2	STAT5	CIS	SOCS3	p12EpoRpJAK2	SHP1	CISRNA	SOCS3RNA	CISnRNA1	CISnRNA3	SOCS3nRNA1	SOCS3nRNA3	npSTAT5	CISnRNA4	p2EpoRpJAK2	SOCS3nRNA4	EpoRJAK2_CIS	SOCS3nRNA2	CISnRNA2	CISnRNA5	SOCS3nRNA5	pSTAT5	p1EpoRpJAK2	SHP1Act	
11	3.04455	0.169887	19.4833	0.000513894	0.12096	0.464361	26.6606	0.000112802	0.000696596	406.659	30.7475	0.00101179	0.000742764	11.5696	6.35383	0.256607	0.000603104	-4.018e-27	0.000880938	124.733	1.13407	0.000469489	52.3161	0.0408122	0.0644607	
11.25	3.06474	0.170006	19.5429	0.000624151	0.136178	0.449535	26.6592	0.000132886	0.000784235	428.277	34.2732	0.0010434	0.000779272	11.8616	7.28325	0.251472	0.000640206	-5.0184e-27	0.00091539	135.141	1.33595	0.000505243	52.0558	0.0404625	0.0658724	
11.5	3.08454	0.170142	19.6085	0.000753639	0.152505	0.434755	26.6579	0.000155713	0.000878257	450.012	38.0508	0.00107421	0.000815206	12.1457	8.30944	0.246646	0.0006771	-4.25934e-27	0.00094908	145.949	1.56541	0.000541288	51.7949	0.0401394	0.0672476	
11.75	3.10387	0.170288	19.6798	0.000904921	0.169945	0.420112	26.6565	0.000181539	0.000978689	471.837	42.0853	0.00110423	0.000850522	12.422	9.43802	0.242113	0.000713695	-3.09161e-27	0.000981999	157.147	1.82501	0.000577497	51.5336	0.0398394	0.0685872	
12	3.12268	0.170437	19.7566	0.0010808	0.188499	0.405686	26.6552	0.000210628	0.00108554	493.726	46.3813	0.00113345	0.000885184	12.6907	10.6746	0.237857	0.000749912	-2.29497e-27	0.00101414	168.725	2.11741	0.000613752	51.272	0.0395593	0.0698921	
12.25	3.14094	0.170585	19.8386	0.0012843	0.208165	0.391542	26.6539	0.000243257	0.00119879	515.652	50.9427	0.0011619	0.000919162	12.9519	12.0246	0.233857	0.000785683	-1.73341e-27	0.00104551	180.669	2.44538	0.000649944	51.0105	0.0392963	0.0711632	
12.5	3.15861	0.170726	19.9256	0.00151871	0.228937	0.377735	26.6527	0.000279712	0.00131841	537.591	55.7729	0.00118959	0.000952436	13.2057	13.4935	0.230097	0.000820949	-1.92531e-27	0.0010761	192.969	2.81179	0.000685978	50.7489	0.0390477	0.0724015	
12.75	3.17568	0.170858	20.0175	0.00178758	0.250805	0.364311	26.6515	0.000320285	0.00144434	559.52	60.8748	0.00121652	0.000984989	13.4523	15.0868	0.226559	0.000855662	-2.18562e-27	0.00110592	205.611	3.2196	0.000721765	50.4876	0.0388113	0.0736082	
13	3.19213	0.170977	20.1139	0.00209471	0.27376	0.351304	26.6503	0.000365281	0.00157653	581.418	66.2507	0.00124272	0.00101681	13.6919	16.8098	0.223223	0.000889781	-2.26353e-27	0.00113498	218.583	3.67186	0.00075723	50.2264	0.0385851	0.0747843	
13.25	3.20796	0.171081	20.2148	0.00244417	0.297786	0.338742	26.6492	0.00041501	0.00171489	603.265	71.9023	0.00126818	0.00104789	13.9245	18.6675	0.220073	0.000923272	-1.91495e-27	0.00116328	231.872	4.17168	0.000792304	49.9657	0.0383672	0.075931	
13.5	3.22316	0.171167	20.3199	0.00284031	0.322869	0.326641	26.6481	0.000469789	0.00185934	625.04	77.8308	0.00129294	0.00107823	14.1502	20.665	0.217094	0.000956111	-1.25369e-27	0.00119083	245.463	4.72225	0.000826929	49.7053	0.0381562	0.0770493	
13.75	3.23775	0.171236	20.4291	0.00328777	0.348991	0.315016	26.647	0.000529942	0.00200977	646.726	84.0369	0.00131699	0.00110783	14.3693	22.8072	0.214268	0.000988274	-5.33347e-28	0.00121764	259.344	5.32682	0.000861055	49.4455	0.0379508	0.0781403	
14	3.25173	0.171285	20.5423	0.00379147	0.376134	0.303871	26.6459	0.000595798	0.00216607	668.306	90.5208	0.00134035	0.00113669	14.5818	25.0988	0.211583	0.00101975	4.4998e-28	0.00124372	273.5	5.98871	0.000894638	49.1862	0.0377499	0.0792051	
