time,EpoRJAK2_1,EpoRpJAK2_1,p1EpoRpJAK2_1,p2EpoRpJAK2_1,p12EpoRpJAK2_1,EpoRJAK2_CIS_1,SHP1_1,SHP1Act_1,STAT5_1,pSTAT5_1,npSTAT5_1,CISnRNA1_1,CISnRNA2_1,CISnRNA3_1,CISnRNA4_1,CISnRNA5_1,CISRNA_1,CIS_1,SOCS3nRNA1_1,SOCS3nRNA2_1,SOCS3nRNA3_1,SOCS3nRNA4_1,SOCS3nRNA5_1,SOCS3RNA_1,SOCS3_1,Epo_1
232.25,3.755001971087568,0.12319337043356635,0.015348168665931371,0.06132242322744621,0.021354066611609365,-2.7170948944282e-23,26.55343929768983,0.17166070231015523,69.57066297241983,7.495176242219569,3.9093247790241428,337.76474125399864,337.34413878536526,337.4441151630968,338.2203178894425,339.86093285751036,0.03382733814902185,20.788106502615573,0.000382364587621931,0.00038220456876334293,0.0003820493901888306,0.0003818992707822028,0.0003817544354637756,0.04470633830063174,7.763391362805938,1.24997e-07
232.5,3.7549907409891214,0.12319665768989728,0.015349096801774584,0.06132683034272763,0.02135667420260077,-2.675263852749364e-23,26.55342033656441,0.17167966343557786,69.5691563154395,7.49636568858208,3.9097861762864277,337.79435516447234,337.35961833125737,337.4408367989008,338.1926661141074,339.80211778665404,0.03382148367052915,20.775214803091345,0.00038240856630430704,0.00038224732318362396,0.0003820908638277038,0.0003819394055669074,0.00038179317173732695,0.044683361713067374,7.759401405638236,1.24997e-07
232.75,3.7549795592975497,0.12319993051749092,0.015350020920258108,0.06133121851179543,0.02135927077902741,-2.6344012096682e-23,26.5534013956722,0.1716986043277864,69.5676456831301,7.497557036762717,3.9102505895646265,337.82434154321527,337.3756069767357,337.4382343314947,338.1658928330451,339.74442619374213,0.03381574101848631,20.76234487820763,0.0003824528543058829,0.00038229040151424793,0.0003821326763684366,0.0003819798946547583,0.0003818322781331475,0.044660439915658566,7.755420962948618,1.24997e-07
233.0,3.754968425949469,0.12320318893636016,0.015350941026351598,0.06133558775684376,0.02136185635709714,-2.59456172189196e-23,26.553382475052345,0.17171752494764705,69.56613114507454,7.498750242938019,3.910717981390463,337.8546963760106,337.3920997915952,337.4363017416904,338.1399907347573,339.6878492372254,0.033810109312847024,20.749496783486972,0.0003824974478589966,0.00038233379988371574,0.00038217482383333314,0.00038202073395979523,0.0003818717504550769,0.044637572862061756,7.751450026689432,1.24997e-07
233.25,3.7549573408798307,0.12320643296672154,0.015351857125081459,0.06133993810033666,0.021364430954151314,-2.555795643220047e-23,26.553363574743784,0.17173642525620542,69.56461277032793,7.499945263629604,3.9111883145614135,337.8854156761081,337.4090918783429,337.43503304919005,338.11495255392157,339.6323781302685,0.033804587679010914,20.736670573553056,0.0003825423432225805,0.0003823775144477049,0.00038221730227245475,0.0003820619194244279,0.00038191158453600144,0.04461476050528063,7.747488588699675,1.24997e-07
233.5,3.754946304021905,0.12320966262898908,0.015352769221528943,0.061344269564998374,0.021366994588700422,-2.5181483000059938e-23,26.5533446947853,0.1717553052146881,69.56309062742135,7.501142055701677,3.9116615521388667,337.9164954840357,337.4265783719762,337.4344223123244,338.09077107108425,339.5780041403941,0.03379917524778817,20.723866302138834,0.00038258753668197646,0.0003824215413888809,0.000382260107763426,0.0003821034470192373,0.0003819517762376511,0.04459200279767426,7.7435366407064,1.24997e-07
233.75,3.7549353153072618,0.12321287794376815,0.015353677320828221,0.06134858217380369,0.02136954728045966,-2.481659666619444e-23,26.55332583521549,0.17177416478450408,69.56156478436563,7.502340576358553,3.9121376574462783,337.94793186741174,337.44455443976136,337.43446362779105,338.0674391123546,339.5247185891272,0.03379387115536407,20.71108402209468,0.0003826330245487522,0.00038246587691670816,0.00038230323641124053,0.0003821453127427758,0.0003819923214503962,0.044569299690965146,7.739594174326119,1.24997e-07
234.0,3.754924374665755,0.1232160789318493,0.015354581428164467,0.061352875949968126,0.021372089050384572,-2.446363940908131e-23,26.553306996072745,0.1717930039272464,69.56003530865505,7.503540783142164,3.912616594067328,337.9797209207564,337.4630152810114,337.43515113039336,338.0449495490973,339.47251285163895,0.033788674543263585,20.698323785396504,0.0003826788031605169,0.0003825105172672614,0.00038234668434806686,0.00038218751262136824,0.0003820332160930448,0.04454665113624735,7.7356611810662175,1.24997e-07
234.25,3.7549134820255023,0.12321926561420223,0.015355481548771942,0.061357150916938274,0.021374619920706602,-2.4122891196598582e-23,26.553288177395295,0.17181182260469333,69.55850226727112,7.504742633929573,3.9130983258440755,338.01185876530377,337.4819561268645,337.4364789927785,338.02329529762636,339.4213783563909,0.03378358455831595,20.685585643153914,0.000382724868880737,0.000382555458703037,0.00038239044773305417,0.00038223004270891204,0.00038207445611263967,0.04452405708399458,7.731737652326349,1.24997e-07
234.5,3.754902637312869,0.12322243801196957,0.015356377687932077,0.06136140709838207,0.021377139914968757,-2.379456574064479e-23,26.55326937922118,0.17183062077881012,69.55696572668636,7.505946086930493,3.9135828168751132,338.04434154881346,337.5013722400622,337.43844142517645,338.00246931889836,339.37130658477906,0.03377860035261923,20.672869645618324,0.0003827712180985521,0.0003826006975127641,0.000382434522752138,0.00038227289908667844,0.00038211603748425496,0.0445015174840683,7.727823579399847,1.24997e-07
