task1.time,task1.SOCS3,task2.SOCS3,task3.SOCS3,task1.pSTAT5,task2.pSTAT5,task3.pSTAT5,task1.CIS,task2.CIS,task3.CIS
14.879999999999999,0.4794914155249264,294.8444221707576,0.07113387269724165,48.27779726080387,0.1282820856359314,14.96302829999378,0.00609088667207127,3.2586841925217508e-06,579.2768544156551
15.0,0.4944945539411645,294.8444343240587,0.07365221762731217,48.15483322440589,0.12989157639906285,15.015005972721113,0.006477315367005777,3.470370832863945e-06,579.2714316158787
15.12,0.5097079758682913,294.844446839798,0.07622560300111537,48.03206370770991,0.1314991991029976,15.065905995230963,0.006883383405063418,3.6936981578408965e-06,579.2660172189752
15.24,0.5251291325994136,294.84445972427534,0.07885426759000219,47.90949351254839,0.1331047856523864,15.115753149948754,0.007309823662584752,3.9291872540845366e-06,579.2606113344352
15.36,0.5407554535923262,294.8444729837882,0.08153843359533693,47.78712740624304,0.1347081709182316,15.16457153012569,0.007757384765715661,4.177377087168288e-06,579.2552140749309
15.479999999999999,0.5565843349861133,294.8444866246304,0.08427830818589295,47.664969939216355,0.13630919620640428,15.21238471654753,0.008226830424688915,4.438825064001586e-06,579.2498255562848
15.6,0.5726131806353574,294.8445006530905,0.08707408320817063,47.54302559518818,0.13790770210210745,15.259215721332517,0.008718940994904023,4.7141069851322715e-06,579.2444458975291
15.719999999999999,0.5888393900677068,294.84451507544986,0.08992593429016126,47.42129874579549,0.13950352723250356,15.30508686273548,0.009234512850841025,5.003817376266905e-06,579.2390752210061
15.84,0.6052603481914819,294.84452989797944,0.09283402239823249,47.299793498331084,0.1410965123565701,15.350019929773623,0.00977435777099198,5.308570155506782e-06,579.2337136523154
15.959999999999999,0.6218734292169459,294.84454512693884,0.09579849414376869,47.17851368742559,0.14268650659516025,15.394036196421602,0.010339302957870623,5.628999362275645e-06,579.2283613203333
16.08,0.6386760258829768,294.84456076857225,0.09881948050488404,47.057463244713844,0.1442733507109936,15.437156265406259,0.010930192254305866,5.965758659095322e-06,579.2230183573639
16.2,0.6556655268669953,294.84457682910727,0.1018970983230059,46.93664586009915,0.14585688845154185,15.479400214519504,0.0115478849313835,6.319522351273665e-06,579.2176848990667
16.32,0.6728393021231815,294.84459331475404,0.105031450943347,46.81606493459684,0.14743696626607844,15.520787645550948,0.01219325476873692,6.690985768446854e-06,579.212361084438
16.439999999999998,0.690194752009042,294.8446102317026,0.10822262683967121,46.695723852211245,0.14901343296074307,15.561337527383449,0.012867192363341719,7.080865652222118e-06,579.2070470560062
