task1.time,task1.pSTAT5,task1.CIS,task1.SOCS3,task1.SOCS3RNA,task1.CISRNA
33.25,32.59776227163701,0.9598409919812575,3.965895677256616,0.022838166813641297,0.04107901678762906
33.5,32.42782074594231,0.9955811970048496,4.017096193021012,0.023133010363458714,0.04208774631828748
33.75,32.25891696144148,1.0321656212685069,4.068172091970764,0.023427136281634255,0.043103719313149456
34.0,32.0910630394989,1.0695988723117282,4.11911825747438,0.023720515103815377,0.04412658936246071
34.25,31.924250039938137,1.1078852602485818,4.169929722271559,0.024013118225813104,0.04515600775717752
34.5,31.758465989014983,1.147028788017937,4.220601663788803,0.02430491787662656,0.04619162358473357
34.75,31.59369537753152,1.1870331555014262,4.271129402169529,0.024595887107099278,0.047233084010204554
35.0,31.42991909224713,1.2279016782608836,4.321508383065709,0.02488599969082354,0.04828003541748951
35.25,31.267113579461842,1.26963735757509,4.371734187432993,0.025175230180546387,0.04933212302649202
35.5,31.105305110870123,1.312242898580063,4.421802531924899,0.025463553910439665,0.0503889906419463
35.75,30.944503085846737,1.3557206590795707,4.471709257219822,0.025750946928880143,0.051450281965771054
36.0,30.78470202201136,1.400072649092781,4.521450325229208,0.026037385982372648,0.05251564090665979
36.25,30.625914956387916,1.445300553603577,4.571021820367029,0.02632284852286045,0.05358471143111542
36.5,30.468080532952822,1.4914057861573533,4.620419956822393,0.026607312749605386,0.054657136706652815
36.75,30.31121708339049,1.5383893672526143,4.669641053425148,0.026890757464449144,0.05573256199053297
37.0,30.155314962730284,1.586252008335859,4.718681546440206,0.027173162145490645,0.056810633139529
37.25,30.00036679573047,1.634994104033424,4.767537985562562,0.02745450692402305,0.057890997071502345
37.5,29.84637866176464,1.6846157645429132,4.816207037516444,0.02773477260525968,0.058973301367743876
37.75,29.693337497409814,1.7351167241561,4.864685465574253,0.028013940550392444,0.060057196538055524
38.0,29.54123662691519,1.7864964143722706,4.912970141071819,0.0282919927429032,0.06114233474771851
38.25,29.39007279525585,1.8387539736815222,4.9610580426545114,0.02856891178422234,0.06222836977330807
38.5,29.23984425886345,1.891888234025171,5.008946250925425,0.028844680862910043,0.06331495766076471
38.75,29.090546060577218,1.9458976859472437,5.056631938918716,0.02911928369979658,0.06440175794333275
39.0,28.942175764334543,2.0007805229019304,5.104112378081222,0.029392704582427612,0.06548843277976797
39.25,28.794725895736494,2.056534670223372,5.151384941051731,0.029664928381068566,0.06657464615170937
39.5,28.64819328859219,2.113157725406507,5.198447087565719,0.02993594046753661,0.06766006626473065
39.75,28.502575144516683,2.1706469867877165,5.245296367242048,0.03020572673124779,0.0687443648649066
40.0,28.357867737127645,2.228999465127007,5.2919304191221,0.03047427357656311,0.06982721712656133
40.25,28.214062674440044,2.28821191647508,5.338346975454405,0.030741567944582705,0.07090830053923228
40.5,28.071156122649647,2.3482807717062135,5.384543845132247,0.031007597217769904,0.07198729827607042
40.75,27.929141975634682,2.4092021929657923,5.430518922089159,0.031272349268297445,0.07306389710421368
41.0,27.78801465056635,2.4709720745788926,5.4762701831694836,0.03153581244578511,0.07413778763088949
41.25,27.647769904866777,2.5335860544685316,5.521795687966582,0.03179797557636819,0.07520866411071271
41.5,27.508400251748693,2.597039477049051,5.5670935673577,0.032058827896673976,0.07627622657388669
41.75,27.36989885723876,2.6613274323148355,5.612162029787729,0.03231835909000789,0.07734017931004625
42.0,27.232261715443855,2.726444768949628,5.656999362579387,0.032576559293898306,0.07840023049996808
42.25,27.09548422241483,2.7923860785533425,5.701603924316796,0.032833419056236615,0.07945609342186286
42.5,26.95956021303042,2.859145694068282,5.74597414134971,0.03308892931514659,0.08050748690709696
42.75,26.824484726277554,2.9267177096996755,5.790108510535359,0.03334308141477361,0.0815541346597385
43.0,26.690252779261854,2.995096004917755,5.834005604398242,0.0335958671349973,0.08259576411173242
43.25,26.556860066821958,3.06427420394214,5.877664054123992,0.033847278593501215,0.08363210938240988
43.5,26.424302603824817,3.1342457090625073,5.921082557619781,0.03409730829218883,0.08466290960150825
43.75,26.292576225002843,3.2050037036376025,5.964259877367112,0.03434594910481863,0.08568790908201142
44.0,26.161674279893166,3.276541168143131,6.007194842946488,0.034593194291542284,0.08670685652150636
44.25,26.03159356890134,3.3488508548561784,6.049886338375965,0.034839037425993764,0.08771950751988399
44.5,25.902329802861605,3.4219253160348075,6.092333309062674,0.03508347243531943,0.08872562282510786
44.75,25.77387809397455,3.4957569088735734,6.134534760500679,0.035326493592679704,0.08972496828615169
45.0,25.646233091196198,3.57033779925732,6.176489756209067,0.03556809550537545,0.0907173150821914
45.25,25.519390175888194,3.645659956108648,6.218197411799011,0.03580827308068276,0.09170244094151808
45.5,25.39334416261952,3.7217151678689757,6.259656898149544,0.03604702154414086,0.09268012903158755
45.75,25.26809084245809,3.798495051444992,6.300867442743694,0.03628433644724665,0.0936501673635388
46.0,25.14362522681207,3.875991047765564,6.341828322451919,0.03652021362589709,0.09461235027697705
46.25,25.01994203378562,3.9541944300126235,6.382538863853995,0.03675464920224308,0.095566478078625
46.5,24.897036141994516,4.033096311487143,6.422998443469133,0.03698763958601464,0.09651235671333874
46.75,24.774903938995205,4.112687654720082,6.463206491363787,0.037219181495296905,0.09744979681604947
47.0,24.653540229024486,4.1929592674101395,6.503162478672779,0.03744927188466925,0.098378616052117
47.25,24.53294045759807,4.273901814729878,6.5428659243231735,0.03767790798392545,0.09929863750208973
47.5,24.413100124518685,4.355505823452943,6.582316393360397,0.03790508728843453,0.10020968980293282
47.75,24.294014718907075,4.43776168785934,6.621513497789655,0.038130807563985895,0.10111160678067152
48.0,24.1756800299272,4.520659673842946,6.660456887888804,0.03835506679676432,0.10200422888095807
48.25,24.0580919156602,4.604189925611868,6.699146257263916,0.038577863222462434,0.10288740200655362
48.5,23.941245518484482,4.688342469508896,6.737581342808895,0.03879919532604817,0.10376097729140434
48.75,23.825136003872977,4.773107220716538,6.775761921240808,0.03901906182181332,0.1046248115667586
49.0,23.7097591485325,4.858473989717809,6.813687806115839,0.039237461636189803,0.10547876773224137
49.25,23.595110380482666,4.944432486247279,6.851358849783744,0.0394543939190044,0.1063227141503309
49.5,23.481185474324533,5.030972320040868,6.888774945184279,0.03966985805382365,0.10715652403111131
49.75,23.36797985152647,5.118083015167703,6.92593601830293,0.03988385361450961,0.10798007677448322
50.0,23.2554889612443,5.20575401045817,6.962842030806787,0.04009638038039877,0.10879325719022277
50.25,23.14370835932581,5.293974664148598,6.999492979322614,0.040307438332144806,0.10959595542790013
50.5,23.032634304047843,5.38273425347022,7.0358888971226285,0.04051702766142629,0.11038806645221816
50.75,22.922262321725658,5.472021994042597,7.072029846441052,0.04072514872670087,0.1111694912837757
51.0,22.81258828866735,5.561827034619548,7.107915922558021,0.04093180207672284,0.11194013601647647
51.25,22.703608080486532,5.652138461023074,7.14354725314141,0.041136988446753044,0.11269991178077292
51.5,22.59531756954803,5.742945300874896,7.178923997516598,0.04134070875435374,0.11344873467722813
51.75,22.48771285836907,5.834236538834069,7.214046341860879,0.04154296407171524,0.11418652634818915
52.0,22.380790070644327,5.92600111213753,7.248914502038455,0.04174375564198149,0.11491321335311055
52.25,22.27454502095102,6.018227909663752,7.283528724437838,0.04194308488407217,0.11562872690920993
52.5,22.168973721006896,6.1109057880025315,7.317889281643528,0.042140953367757895,0.11633300332177555
52.75,22.064072324850475,6.2040235752154755,7.351996471986593,0.04233736281107221,0.1170259838817438
53.0,21.95983691840481,6.297570071051288,7.385850620201923,0.04253231508409637,0.11770761461161815
53.25,21.85626350749552,6.391534038972965,7.419452079664409,0.042725812221836475,0.1183778458264925
53.5,21.75334818441745,6.485904238928411,7.452801224726187,0.04291785638009711,0.11903663296077506
53.75,21.651087001899096,6.580669412329236,7.485898454810951,0.04310844985905864,0.11968393588559768
54.0,21.549476060170285,6.6758182880956545,7.518744193177201,0.0432975950961553,0.12031971892028624
54.25,21.448511638540452,6.771339579944261,7.551338887662396,0.04348529467036054,0.12094395060083134
54.5,21.348189786470115,6.867222012609651,7.583683005577447,0.04367155127278647,0.12155660411667976
54.75,21.24850664633316,6.9634543088979415,7.615777036519959,0.04385636772288421,0.12215765684281181
55.0,21.14945846000179,7.060025190499668,7.647621492261973,0.04403974696779743,0.12274709024202707
55.25,21.051041512139097,7.1569233872812,7.679216905154657,0.04422169207317568,0.12332488987882975
55.5,20.953252027518065,7.254137650623361,7.7105638257868,0.04440220620969063,0.12389104550054843
55.75,20.85608630263464,7.351656746134387,7.7416628244462515,0.044581292661451874,0.12444555077581215
56.0,20.759540619248433,7.449469446875715,7.772514492327017,0.0447589548329581,0.12498840311529974
56.25,20.66361132486452,7.547564560144415,7.803119436961836,0.04493519622279526,0.12551960385948108
